Yachtski Score,Artist,Title
69.0,Marty McCall & Fireworks,Givin’ It Up
69.0,Pablo Cruise,Whatcha Gonna Do?
69.0,Young Gun Silver Fox,Rolling Back
68.75,Chaka Khan,What Cha' Gonna Do For Me
68.75,Charlie Dore,You Should Hear (How She Talks About You)
68.75,Christian Gratz,Man in the Middle
68.75,Deniece Williams,Heaven In Your Eyes
68.75,Michael Gonzales,Come Home
68.75,Tim Feehan,Sadie J
68.5,David Sanborn,Back Again
68.5,Exile,It Takes Love to Make Love
68.5,Randy Crawford,Look Who’s Lonely Now
68.25,Alan Thicke,Thicke of the Night
68.25,Brown Bannister,Lay It All Down
68.25,Carrera,Lucky One (New York Boy)
68.25,Dan Seals,Not Every Heart Succeeds
68.25,Earth Kenan,"Good Luck, Babe!"
68.25,Page 99,Did You Mean That
68.25,Rita Lee,Lança Perfume
68.25,Robbie Dupree,Are You Ready For Love?
68.25,Sneaker,No More Lonely Days
68.25,Steely Dan,Doctor Wu
68.0,Angela Bofill,On and On
68.0,David Pomeranz,"Ask Me to Say ""I Do"" (And I Will)"
68.0,John Schneider,Fallin' In Love With Love
68.0,Kenny Rogers,Somebody Took My Love
68.0,Leslie Smith,It's Something
68.0,Ray Parker Jr. & Raydio,That Old Song
68.0,Rob Mehl,House on the Rock
68.0,Steely Dan,The Fez
68.0,The Parker Brothers,Make Believe
67.75,Average White Band,"For You, For Love"
67.75,Daft Punk,Fragments of Time
67.75,George Duke,Every Little Step I Take
67.75,The Joe Chemay Band,Bad Enough
67.5,Alessi,Put Away Your Love
67.5,DeBarge,Queen Of My Heart
67.5,Dwight Druick,Georgy Porgy
67.5,Lee Ritenour,Dreamwalkin' (Along with Me)
67.5,Yatte,She's In Love Again
67.25,Art Garfunkel,In A Little While (I'll Be On My Way)
67.25,Doobie Brothers,How Do the Fools Survive
67.25,Leon Ware and Janis Siegel,Why I Came to California
67.25,Orleans,Love Takes Time
67.25,Rapallo,Lion's Share
67.25,Roby Duke,Come Let Us Reason
67.25,Toto,Rockmaker
67.0,Debby Boone,Jamie
67.0,Larsen-Feiten Band,She's Not In Love
67.0,Ted Gärdestad (Gardestad),Back in The Business
67.0,Turley Richards,You Might Need Somebody
66.75,America,You Could Have Been The One
66.75,Bruce Sudano,True Love
66.75,Franke & The Knockouts,Come Rain or Shine
66.75,Fred Knobloch,A Bigger Fool
66.75,Marc Jordan,Red Desert
66.75,Melissa Manchester,Looking for the Perfect Ahh
66.75,Nielsen/Pearson,Sentimental
66.75,Pages,If I Saw You Again
66.75,Peter Gallway,State Street
66.75,Pierre,You Lied
66.75,Prince,My Love Is Forever
66.5,Ambrosia,How Can You Love Me
66.5,Amy Holland,(I Hang) On Your Every Word
66.5,Gary Wright,Close To You
66.5,Manhattan Transfer,On the Boulevard
66.5,Marlene with Seawind,Good Enough For You
66.5,Per-Erik Hallin,Gospel Train
66.5,The Dukes (Bugatti & Musker),Mystery Girl
66.25,Ayers Rock,On The Avenue
66.25,Doobie Brothers,Just In Time
66.25,Jimmy Webb,God's Gift
66.25,Player,Givin' It All
66.25,Pointer Sisters,The Love Too Good To Last
66.25,Steely Dan,Green Earrings
66.0,Average White Band,Our Time Has Come
66.0,Benny Hester,Step By Step
66.0,Margriet Eshuijs Band,Don’t Talk
66.0,Pablo Cruise,Don’t Want To Live Without It
66.0,Thundercat,Show You the Way
66.0,Yoshino Fujimal,You're The One
65.75,Boz Scaggs,Hollywood
65.75,Jeffrey Osborne,Stay With Me Tonight
65.75,Johnny Mathis,Simple
65.75,Michael Sembello,Cowboy
65.75,Stevie Woods,Steal The Night
65.5,Dane Donohue,Casablanca
65.5,Hal Bradbury,"You Win, I Lose"
65.5,Heat,Follow You Home
65.5,Jim Photoglo,Steal Away
65.25,Adrian Gurvitz,The Wonder of It All
65.25,David Roberts,Someone Like You
65.25,Jermaine Jackson,You Like Me Don't You
65.25,Sylvester,Thinking Right
65.0,Alan O'Day,People Who Talk to Themselves
65.0,Avalon,The Writing on the Wall
65.0,Donald Fagen,I.G.Y. (What a Beautiful World)
65.0,Franke & The Knockouts,Sweetheart
65.0,Lee Ritenour,Sunset Drivers
65.0,Linda Lewis,Don’t Let It Go
65.0,Marie & Cherie Currie,I Just Love The Feeling
65.0,Parachute,Baby You’re Just Like Me
64.75,Alain Chamfort,Let Me Try It Again
64.75,Bruce Roberts,Cool Fool
64.75,Christopher Cross,Spinning
64.75,David Roberts,Too Good To Last
64.75,Eric Tagg,In The Way
64.75,Joe English,First Love
64.75,Peter Allen,Tonight You Made My Day
64.75,Sea Level,Living In A Dream
64.75,Steely Dan,Caves of Altamira
64.75,Takako Mamiya,Love Trip
64.5,David Pack,She Don't (Come Around Anymore)
64.5,Malcolm McCallum,You Gotta Ride
64.5,Max Gronenthal,You
64.5,Nicolette Larson,Isn't It Always Love
64.5,Pages,Fearless
64.5,The Emotions,Now That I Know
64.25,Michael Gonzales,I Praise You
64.25,Sergio Mendes,Rainbow’s End
64.0,213,"Oh Me, Oh My"
64.0,Fred Knoblock,It’s Over
64.0,Merry Clayton,Emotion
64.0,Michael Jackson,Rock With You
64.0,Perry & Sanlin,With You
64.0,Rick Moranis,Downtown
64.0,White Heart,Walking In The Light
63.75,Bobby Caldwell,My Flame
63.75,Brenda Russell,Two Eyes
63.75,Donald Fagen,Tomorrow's Girls
63.75,Joey Travolta,Hurry Up And Wait
63.75,Maria Conchita Alonso,Amor de Madrugada
63.75,Nigel Olsson,A Little Bit of Soap
63.75,Robbie Dupree,Free Fallin
63.75,Sharon Cuneta,Love On Your Mind
63.75,The Faith Band,You're My Weakness
63.75,The Ritchie Family,Walk With Me
63.5,David Sanborn,Anything You Want
63.5,Jeffrey Osborne,The Other Side of The Coin
63.5,Makoto Matsushita,Lazy Night
63.5,Red Rider,Good News
63.5,Robert Chini,Doin’ It All For You
63.25,Christopher Cross,Words of Wisdom
63.25,Johnnie Taylor,I Got This Thing For Love
63.25,Lani Hall,Where's Your Angel
63.25,Madness A.K.A. Akasha,Madame Operator
